,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
118,8_78_7,125,963.04,2,1069.648395061728,27.05435133471093,"{'AF': 981.39, 'TX': 963.04}",81,3870.0,2453.2098765432097,1625.0,469.1163958989651,competitor,20180815_FDFPAR_8_7-processed,sabre,0.07787838511380628,FDFPAR,-142.04545454545453,sabre,888.04,6,1192.34012345679,194.02538028241193,"{'3S-AF': 1322.62, '3S-AF-SS': 1245.62, 'AA': 1433.86, 'AF': 1117.62, 'AF-SS': 1230.56, 'SS': 888.04}",81,4041.0,1441.4938271604938,995.0,495.5592831200115,20180815
119,15_3,0,231.87,3,433.4264893617022,194.70934805171962,"{'AF': 231.87, 'LH-LX': 269.02, 'LX': 231.87}",94,965.0,257.8723404255319,140.0,223.34635978905644,sabre,20180815_GVAPAR_15_3-processed,sabre,0.24418855393108208,GVAPAR,0.0,competitor,175.25,1,179.10255319148936,4.7018991670079595,{'LX': 175.25},94,2890.0,1995.212765957447,910.0,421.02851210734053,20180815
120,15_715_7,80,198.23,10,332.9612903225806,74.53248435640525,"{'AF': 333.17, 'AF-KL': 258.71, 'EW-LH': 430.32, 'EW-LX': 370.9, 'KL': 374.7, 'LH': 337.75, 'LH-LX': 200.24, 'LX': 198.23, 'LX-OS': 340.85, 'SK': 378.91}",124,2470.0,548.5887096774194,140.0,410.1524406692462,sabre,20180815_GVAPAR_15_7-processed,sabre,0.11592594460979666,GVAPAR,90.9090909090909,competitor,175.25,7,233.39233870967743,71.49728272861424,"{'AZ': 373.96, 'BA': 331.21, 'KL': 264.88, 'LH': 289.27, 'LH-LX': 186.79, 'LX': 175.25, 'OS': 355.23}",124,2935.0,1626.975806451613,555.0,615.4203463178204,20180815
121,22_1422_14,79,167.72,6,298.14635658914733,113.24667008720654,"{'AF': 231.87, 'AF-KL': 179.72, 'LH': 220.85, 'LH-LX': 167.72, 'LX': 188.7, 'SK': 304.35}",129,1670.0,361.8992248062016,140.0,235.8223591551899,competitor,20180815_GVAPAR_22_14-processed,sabre,0.1641426186501312,GVAPAR,79.0,competitor,140.19,8,177.36248062015503,31.15759473103548,"{'AF-KL': 140.19, 'AZ': 189.96, 'KL': 164.88, 'LH': 192.19, 'LH-LX': 157.19, 'LX': 145.65, 'LX-OS': 176.09, 'OS': 258.73}",129,2275.0,1118.953488372093,500.0,367.56572244942464,20180815
122,22_722_7,65,191.41,7,238.59874125874123,22.282657497816007,"{'AF': 218.87, 'AF-KL': 191.41, 'LH': 220.85, 'LH-LX': 191.87, 'LH-OS': 237.31, 'LX': 210.23, 'LX-OS': 191.87}",143,550.0,416.53846153846155,140.0,111.65091279158416,competitor,20180815_GVAPAR_22_7-processed,sabre,0.2675931247061282,GVAPAR,41.666666666666664,competitor,140.19,9,183.98713286713289,68.84826002099719,"{'AF': 373.5, 'AF-KL': 140.19, 'AZ': 171.11, 'KL': 164.88, 'LH': 192.19, 'LH-LX': 154.51, 'LX': 145.65, 'LX-OS': 163.03, 'OS': 245.67}",143,2370.0,954.5804195804196,145.0,370.27183414783656,20180815
123,3_23_2,125,170.64,3,276.5246052631578,29.159258949924837,"{'AF': 258.02, 'LH-LX': 170.64, 'LX': 209.87}",76,2200.0,1076.1842105263158,140.0,542.0472724901723,competitor,20180815_GVAPAR_3_2-processed,sabre,0.14644866385372704,GVAPAR,-127.55102040816327,competitor,145.65,4,265.0177631578947,47.4668391925334,"{'AF': 197.98, 'AZ': 315.96, 'LH-LX': 248.51, 'LX': 145.65}",76,3035.0,1577.6315789473683,145.0,737.8945153539725,20180815
124,8_28_2,57,287.71,7,462.61714285714294,49.298994251876735,"{'AF': 325.17, 'AF-KL': 287.71, 'KL': 504.8, 'LH': 467.19, 'LH-LX': 315.39, 'LX': 376.69, 'SK': 430.22}",147,2010.0,375.51020408163265,140.0,166.02188200994001,tie,20180815_GVAPAR_8_2-processed,sabre,0.31604740884918836,GVAPAR,31.666666666666668,competitor,196.78,7,311.1819047619048,55.84619170412501,"{'AF': 201.98, 'AZ': 364.96, 'KL': 308.88, 'LH': 330.54, 'LH-LX': 248.51, 'LX': 196.78, 'LX-OS': 315.85}",147,2250.0,1209.7619047619048,380.0,451.75469663975053,20180815
125,8_78_7,119,245.56,6,315.54867469879514,19.347867391844535,"{'AF': 304.17, 'AF-KL': 245.56, 'LH': 271.02, 'LH-LX': 271.02, 'LH-OS': 321.99, 'LX': 324.46}",83,1685.0,845.5421686746988,140.0,373.42270892593154,competitor,20180815_GVAPAR_8_7-processed,sabre,0.1986479882717055,GVAPAR,-165.27777777777777,competitor,196.78,7,273.006265060241,47.45589402111733,"{'AF': 325.5, 'AZ': 319.96, 'LH': 321.55, 'LH-LX': 208.32, 'LX': 196.78, 'LX-OS': 254.36, 'OS': 373.43}",83,1835.0,889.2168674698795,145.0,406.3231036872843,20180815
126,15_315_3,48,1103.96,2,1324.1880921052634,108.67023624102507,"{'AA': 1103.96, 'KL': 1501.83}",152,4320.0,2939.407894736842,1795.0,414.7858835698047,competitor,20180815_HAVPAR_15_3-processed,sabre,0.018116598427479255,HAVPAR,23.076923076923077,sabre,1083.96,9,1281.2373684210527,211.10656676061208,"{'AA': 1083.96, 'AC': 1217.07, 'AF': 1396.62, 'AF-KL': 1262.96, 'AM': 1418.83, 'IB': 1625.68, 'KL': 1384.65, 'SU': 1433.45, 'UX': 1539.69}",152,3765.0,2628.9802631578946,1350.0,534.8625307125142,20180815
127,15_715_7,36,1097.14,5,1317.1201851851852,129.18937213500303,"{'AA': 1097.14, 'AC': 1326.04, 'AF': 1452.54, 'AF-KL': 1299.8, 'UX': 2068.69}",162,3705.0,3044.537037037037,1320.0,667.3961653147855,competitor,20180815_HAVPAR_15_7-processed,sabre,0.027507884135114992,HAVPAR,14.285714285714286,competitor,1066.96,8,1289.610987654321,569.7003421241818,"{'AA': 1083.96, 'AF': 1196.65, 'AF-KL': 1066.96, 'AM': 1274.83, 'DL': 5237.31, 'IB': 1537.68, 'KL': 1188.65, 'UX': 1419.55}",162,4090.0,2644.9691358024693,1350.0,529.8134843829771,20180815
