,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
54,8_28_2,34,513.99,14,552.228372093023,31.903475286340157,"{'JQ-LA': 549.99, 'QF-VA': 521.99, 'LA-QF': 566.99, 'LA-NZ': 558.99, 'NZ-VA': 592.99, 'EK-JQ': 590.99, 'JQ-QF': 513.99, 'NZ-QF': 521.99, 'LA-VA': 557.99, 'EK-QF': 584.99, 'QF': 557.99, 'EK-NZ': 599.99, 'EK-VA': 598.99, 'JQ-NZ': 585.99}",172,1700.0,785.3023255813954,405.0,251.3532064257883,sabre,20180823_AKLSYD_8_2-2,competitor,-0.1943033911165587,AKLSYD,12.318840579710145,sabre,613.86,9,698.4172674418605,62.27594102461364,"{'JQ-LA': 643.96, 'TN': 934.86, 'EK': 642.76, 'VA': 627.86, 'JQ': 645.96, 'JQ-QF': 634.96, 'NZ': 749.86, 'EK-QF': 614.31, 'QF': 613.86}",172,1850.0,697.1627906976744,399.0,390.99440956997523,20180823
55,8_78_7,33,446.99,10,508.70111111111095,21.57110857177995,"{'QF-VA': 508.99, 'JQ-VA': 464.99, 'LA-NZ': 498.99, 'NZ-VA': 453.99, 'JQ-QF': 505.99, 'NZ-QF': 489.99, 'LA-VA': 517.99, 'JQ-NZ': 446.99, 'EK-NZ': 517.99, 'EK-VA': 536.99}",180,1020.0,554.15,404.0,193.09205478245795,tie,20180823_AKLSYD_8_7-2,competitor,-0.2122418846059196,AKLSYD,11.0,sabre,541.86,10,650.3088709677419,50.50015613906305,"{'TN': 870.86, 'EK': 592.76, 'LA': 609.86, 'QF': 563.86, 'VA': 541.86, 'JQ': 638.96, 'JQ-QF': 593.86, 'NZ': 582.86, 'EK-QF': 614.31, 'JQ-TN': 697.86}",186,1465.0,513.6827956989247,399.0,233.91766032200348,20180823
56,15_315_3,26,1946.99,6,2199.9899999999993,215.58204585982986,"{'QF-QR': 2570.99, 'QR': 2221.99, 'EK': 2411.99, 'EY-QF': 2416.99, 'EK-QF': 1966.99, 'QF': 1946.99}",174,4545.0,3088.3333333333335,2485.0,372.8372443707585,competitor,20180823_BEYSYD_15_3-2,competitor,-0.08010826968808264,BEYSYD,8.783783783783784,sabre,2102.96,8,4783.352011494254,2171.7706489257184,"{'ME': 3189.26, 'QR': 2221.96, 'EK': 2102.96, 'AF': 3380.66, 'MH-QF-RJ': 2141.94, 'EY': 3620.26, 'EK-QF': 3680.86, 'MS': 2678.86}",174,4465.0,3531.896551724138,2415.0,492.7991544002851,20180823
57,15_7,50,1946.99,6,2252.269999999999,242.2224314730674,"{'QF-QR': 2620.99, 'QR': 2247.99, 'EK': 2104.99, 'EY-QF': 2450.99, 'EK-QF': 1966.99, 'QF': 1946.99}",150,4830.0,3431.366666666667,2415.0,530.5634894440967,competitor,20180823_BEYSYD_15_7-2,sabre,0.030318594343062867,BEYSYD,25.0,competitor,1887.96,9,3286.9208666666673,1865.9321771013535,"{'ME': 3207.36, 'QR': 2611.96, 'EK': 2102.96, 'ME-QR': 2666.46, 'AF': 3377.66, 'EY': 3647.26, 'EK-QF': 1887.96, 'MS': 2698.86, 'QF': 1887.96}",150,4465.0,3568.4,2525.0,464.5671002169942,20180823
58,22_14,48,1553.99,5,1855.9636842105263,232.8755443803463,"{'EY-QF': 2353.99, 'QF': 1655.99, 'EK-EY': 2353.99, 'EK': 1553.99, 'EK-QF': 1570.99}",152,4360.0,3313.9802631578946,2520.0,416.18113208940053,competitor,20180823_BEYSYD_22_14-2,sabre,0.00034105753576276084,BEYSYD,23.076923076923077,sabre,1553.46,11,1972.558552631579,548.6648005785661,"{'ME': 2709.46, 'QR': 2411.96, 'BA': 2964.46, 'EK': 1878.96, 'AF': 3096.66, 'ME-QR': 2478.36, 'EY': 1612.26, 'EK-QF': 1553.46, 'MS': 2104.86, 'QF': 1561.74, 'TK': 3696.06}",152,4565.0,3164.8026315789475,2320.0,569.9139825821944,20180823
59,22_7,38,1554.99,4,1933.2430864197531,142.7856975512514,"{'QR': 2049.99, 'EK-QF': 1655.99, 'EK': 1554.99, 'QF': 1737.99}",162,3955.0,3027.1296296296296,2320.0,245.69574526404756,competitor,20180823_BEYSYD_22_7-2,sabre,1.9292728570584194e-05,BEYSYD,15.32258064516129,competitor,1554.96,10,1938.510864197531,506.68141254919846,"{'ME': 2709.46, 'QR': 2099.96, 'BA': 2802.46, 'EK': 1657.76, 'AF': 3096.66, 'EY': 1612.26, 'EK-QF': 1554.96, 'MS': 2411.86, 'QF': 1573.85, 'TK': 3696.06}",162,4565.0,3226.574074074074,2415.0,567.7758372027196,20180823
60,3_23_2,44,4355.99,1,4358.002903225804,0.8899664138868778,{'EY-QR': 4355.99},155,4030.0,3185.6451612903224,2570.0,268.8012770033704,competitor,20180823_BEYSYD_3_2-2,sabre,0.0859804545005842,BEYSYD,19.81981981981982,sabre,3981.46,18,9934.250967741933,4693.5475642723295,"{'ME-QF-QR-SQ': 7855.46, '9W-AI-QF-QR-SV': 6662.93, 'QR': 7448.06, 'ME-QF-QR-VN': 6607.01, 'BA-ME-QF-QR': 8457.21, 'EK': 13638.56, 'ME-QR': 3981.46, 'GA-ME-QF-QR': 6607.46, 'ME-QF-QR-TG': 7658.41, 'BA-ME-QF-QR-SN': 8419.81, 'ME-QF-QR': 6616.46, '9W-AI-ME-QF-QR': 6690.13, 'AZ-BA-QF-QR': 8227.41, 'AZ-QF-QR-TG': 7590.41, 'BA-QF-QR': 8395.71, 'FJ-ME-QF-QR-SQ': 7855.01, 'CX-GF-QR': 18098.36, 'A3-QF-QR': 7259.51}",155,4830.0,3539.0,2320.0,509.72089383346804,20180823
61,8_2,13,2369.99,3,2457.749358288769,29.624366162902703,"{'EK-EY': 2463.99, 'EK': 2369.99, 'EY-QF': 2464.99}",187,4640.0,3398.0213903743315,2690.0,421.2993081727926,competitor,20180823_BEYSYD_8_2-2,competitor,-0.10185275043354627,BEYSYD,3.735632183908046,sabre,2611.38,7,5515.174171122995,2617.417428918879,"{'BA-FJ-LH': 13309.36, 'BA-FJ-LH-ME': 13291.06, 'EK': 4066.96, 'ME-QR': 3933.46, 'AF': 4069.26, 'QR': 3634.96, 'EK-QF': 2611.38}",187,4725.0,3337.513368983957,2320.0,524.4265619763465,20180823
62,8_7,17,2017.99,5,2576.1211475409827,316.35014031488487,"{'EK-QR': 2668.99, 'EK-VA': 2957.99, 'EK-EY': 2498.99, 'EK': 2017.99, 'EK-QF': 2106.99}",183,4710.0,3682.3497267759562,2625.0,452.67301116935806,competitor,20180823_BEYSYD_8_7-2,competitor,-0.06663561266408656,BEYSYD,5.120481927710843,sabre,2152.46,9,6553.488907103825,2611.0070246164796,"{'BA-FJ-LH': 13309.36, 'QR': 3586.96, 'EK': 2152.46, 'ME-QR': 3886.46, 'AF': 3776.66, 'EY': 3958.66, 'EK-QF': 2152.46, 'QF': 3718.21, 'TK': 4040.06}",183,4565.0,3217.185792349727,2320.0,523.0393828965175,20180823
63,15_315_3,48,562.99,13,687.1086440677965,60.39343114465123,"{'AK-D7-TR': 594.99, 'AK-D7': 766.99, 'BL-D7-FD-JQ': 562.99, 'TR': 641.99, 'CI-TR': 763.99, 'AK-D7-PR': 757.99, 'D7-FD-TR': 594.99, 'D7-FD': 766.99, 'D7-FD-PR': 757.99, 'BL-JQ-TR': 609.99, 'AK-BL-D7-JQ': 562.99, 'AK-D7-FD': 766.99, 'BL-CI-JQ': 731.99}",177,3795.0,2406.129943502825,1485.0,501.08220389892256,competitor,20180823_BKKSYD_15_3-2,competitor,-0.445602941437681,BKKSYD,17.02127659574468,sabre,813.86,21,1532.0610945273631,1186.881058131267,"{'PR': 813.86, 'HX': 954.26, '3K-QF': 962.06, 'QF-TG': 4584.71, 'PG-TG': 4351.26, 'EK': 5156.06, 'FM-MU': 1122.46, 'SQ': 1245.06, 'QF': 953.06, 'MH': 929.62, 'VN': 1339.56, 'MU': 971.06, 'CZ': 1424.76, 'CX': 1239.06, 'EK-QF': 4549.06, 'JQ-MU': 1081.28, 'PG-QF': 4556.71, 'TG': 1365.36, 'TG-VA': 1468.34, 'QF-SQ': 1184.06, 'PG': 1418.36}",201,3840.0,2157.4776119402986,1080.0,726.7371882229976,20180823
