,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
77,1232,VA0813-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
78,1235,VA0813-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
79,1238,VA0811-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
80,1241,VA0813-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
81,1244,VA0813-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
82,1247,VA0813-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
83,1250,VA0813-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
84,1252,VA0817-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
85,1255,VA0817-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
86,1258,VA0813-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
87,1261,VA0823-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
88,1264,VA0811-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
89,1266,VA0811-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
90,1269,VA0811-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
91,1273,VA0811-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
92,1276,VA0811-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
93,1279,VA0811-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
94,1282,VA0899-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
95,1284,VA0895-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
96,1287,VA0895-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
97,1290,VA0899-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
98,1293,VA0899-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
99,1296,VA0895-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
100,1298,VA0895-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
101,1300,VA0895-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
