MVD|LON|2020-09-25|2020-10-01|50|200|
MVD|LON|2020-09-25|2020-10-01|50|200|
MVD|LON|2020-09-25|2020-10-01|50|200|
MVD|LON|2020-09-26|2020-10-01|50|200|
MVD|BUE|2020-06-17|2020-06-19|50|200|
|BUE|2020-06-12|2020-06-19|50|400|
MVD|BUE|2020-06-12|2020-06-12|50|200|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
MVD|BUE|2020-06-12,2020-06-12,|50|400|
['MVD']|['BUE']|['2020-06-12', '2020-06-12', '']|50|200|
['MVD']|['BUE']|['2020-06-12', '']|50|400|
['MVD']|['BUE']|['2020-06-12', '']|50|400|
['MVD']|['BUE']|['2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-26', '2020-07-03']|50|200|
['MVD']|['SCL']|['']|50|400|
['']|['']|['2020-06-12', '2020-06-12']|50|400|
['']|['']|['2020-06-12', '2020-06-12']|50|400|
['MVD']|['BUE']|['2020-06-12', '2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-12', '2020-06-19']|50|200|
['MVD']|['BUE']|['2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-12', '2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-12', '2020-06-12']|50|200|
['MVD']|['BUE']|['2020-06-13', '2020-06-19']|50|200|
['MVD']|['BUE']|['2020-06-26']|50|200|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|401|
['MVD']|['BUE']|['2020-06-24', '2020-07-01']|50|401|
['MVD']|['BUE']|['2020-06-24', '2020-07-01']|50|401|
['MVD']|['BUE']|['2020-06-24', '2020-07-01']|50|401|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|401|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|401|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|401|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|401|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-25', '2020-07-02']|50|200|
['MVD']|['SCL']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-26', '2020-07-03']|50|200|
['LON']|['SIN']|['2020-06-16', '2020-06-16']|50|200|
['MVD']|['BUE']|['2020-06-30', '2020-07-07']|50|200|
['LON']|['SIN']|['2020-06-30', '2020-07-07']|50|200|
['LON']|['YTZ']|['2020-06-26', '2020-07-03']|50|200|
