ap,los,ond,dates
22,14,PARSGN,20180815
8,7,ISTPAR,20180815
15,3,ISTPAR,20180815
15,7,ISTPAR,20180815
22,7,ISTPAR,20180815
22,14,ISTPAR,20180815
8,2,ATHPAR,20180815
3,2,ATHPAR,20180815
8,7,ATHPAR,20180815
15,7,ATHPAR,20180815
22,7,ATHPAR,20180815
15,3,ATHPAR,20180815
3,2,BIAPAR,20180815
8,2,BIAPAR,20180815
22,14,ATHPAR,20180815
8,7,BIAPAR,20180815
15,3,BIAPAR,20180815
15,7,BIAPAR,20180815
22,7,BIAPAR,20180815
22,14,BIAPAR,20180815
