,type,name,continent,iso_country,iso_region,iata_code,coordinates
19581,medium_airport,Hemavan Airport,EU,SE,SE-AC,HMV,"65.80609893798828, 15.082799911499023"
19599,medium_airport,Spangdahlem Air Base,EU,DE,DE-RP,SPM,"49.9726982117, 6.69250011444"
19600,large_airport,Ramstein Air Base,EU,DE,DE-RP,RMS,"49.4369010925293, 7.600279808044434"
19606,medium_airport,Bückeburg Air Base,EU,DE,DE-NI,,"52.2785, 9.08217"
19607,medium_airport,Celle Airport,EU,DE,DE-NI,ZCN,"52.59120178222656, 10.022100448608398"
19608,medium_airport,Rheine Bentlage Air Base,EU,DE,DE-NW,,"52.291199, 7.387"
19609,medium_airport,Fritzlar Airport,EU,DE,DE-HE,FRZ,"51.1146, 9.286"
19611,medium_airport,Laupheim Air Base,EU,DE,DE-BW,,"48.220299, 9.91002"
19612,medium_airport,Mendig Airfield,EU,DE,DE-RP,,"50.366001, 7.31533"
19613,medium_airport,Niederstetten Army Air Base,EU,DE,DE-BW,,"49.391945, 9.958889"
19614,medium_airport,Roth Airport,EU,DE,DE-BY,,"49.217498779296875, 11.100199699401855"
19615,medium_airport,Fassberg Air Base,EU,DE,DE-NI,,"52.919399, 10.185827"
19617,medium_airport,Grafenwohr Army Air Field,EU,DE,DE-BY,,"49.698699951171875, 11.940199851989746"
19619,medium_airport,Hohenfels Army Air Field,EU,DE,DE-BY,,"49.218101501464844, 11.836099624633789"
19626,medium_airport,Nordholz Naval Airbase,EU,DE,DE-NI,FCN,"53.7677001953, 8.658499717709999"
19628,medium_airport,Diepholz Air Base,EU,DE,DE-NI,,"52.585556, 8.342222"
19629,medium_airport,Geilenkirchen Air Base,EU,DE,DE-NW,GKE,"50.9608, 6.04242"
19630,medium_airport,Hohn Air Base,EU,DE,DE-SH,,"54.312199, 9.53817"
19631,medium_airport,Jever Air Base,EU,DE,DE-NI,,"53.533501, 7.88867"
19632,medium_airport,Rostock-Laage Airport,EU,DE,DE-MV,RLG,"53.9182014465, 12.278300285299999"
19633,medium_airport,Nörvenich Air Base,EU,DE,DE-NW,,"50.8312, 6.65817"
19635,medium_airport,Schleswig Air Base,EU,DE,DE-SH,WBG,"54.459301, 9.51633"
19636,medium_airport,Wittmundhafen Airport,EU,DE,DE-NI,,"53.54779815673828, 7.667329788208008"
19637,medium_airport,Wunstorf Air Base,EU,DE,DE-NI,,"52.457298, 9.42717"
19641,medium_airport,Wiesbaden Army Airfield,EU,DE,DE-HE,WIE,"50.049800872802734, 8.325400352478027"
19643,medium_airport,Büchel Air Base,EU,DE,DE-RP,,"50.1738014221, 7.06333017349"
19645,medium_airport,Fürstenfeldbruck Air Base,EU,DE,DE-BY,FEL,"48.205555, 11.266944"
19646,medium_airport,Holzdorf Air Base,EU,DE,DE-BR,,"51.767799, 13.1677"
19647,medium_airport,Ingolstadt Manching Airport,EU,DE,DE-BY,IGS,"48.7156982421875, 11.534000396728516"
19648,medium_airport,Lechfeld Air Base,EU,DE,DE-BY,,"48.185504, 10.8612"
19649,medium_airport,Neuburg AFB,EU,DE,DE-BY,,"48.710999, 11.2115"
19659,medium_airport,Daugavpils Intrenational Airport,EU,LV,LV-DA,DGP,"55.944721221900004, 26.6650009155"
19666,medium_airport,Jēkabpils Air Base,EU,LV,LV-JK,,"56.534698, 25.8925"
19667,medium_airport,Liepāja International Airport,EU,LV,LV-LE,LPX,"56.51750183105469, 21.096900939941406"
19672,large_airport,Riga International Airport,EU,LV,LV-RIX,RIX,"56.92359924316406, 23.971099853515625"
19675,medium_airport,Jūrmala Airport,EU,LV,LV-TU,,"56.9422, 23.2239"
19677,medium_airport,Ventspils International Airport,EU,LV,LV-VEN,VNT,"57.35779953, 21.5442008972"
19685,medium_airport,Kaunas International Airport,EU,LT,LT-KU,KUN,"54.96390151977539, 24.084800720214844"
19686,medium_airport,Kėdainiai Air Base,EU,LT,LT-KU,,"55.31169891357422, 23.95639991760254"
19699,medium_airport,Palanga International Airport,EU,LT,LT-KL,PLQ,"55.973201751708984, 21.093900680541992"
19702,medium_airport,Panevėžys Air Base,EU,LT,LT-PN,PNV,"55.729400634765625, 24.460800170898438"
19708,medium_airport,Šiauliai International Airport,EU,LT,LT-SA,SQQ,"55.89390182495117, 23.395000457763672"
19709,medium_airport,Barysiai Airfield,EU,LT,LT-SA,,"56.070599, 23.5581"
19714,large_airport,Vilnius International Airport,EU,LT,LT-VL,VNO,"54.634102, 25.285801"
19819,medium_airport,Alexander Bay Airport,AF,ZA,ZA-NC,ALJ,"-28.575001, 16.5333"
19823,medium_airport,Aggeneys Airport,AF,ZA,ZA-NC,AGZ,"-29.28179931640625, 18.813899993896484"
