,Unnamed: 0,x
233,16293,"Edson Airport,Edson Airport(YET)"
234,16295,"Inuvik Mike Zubko Airport,Inuvik Mike Zubko Airport(YEV)"
235,16296,"Amos/Magny Airport,Amos/Magny Airport(YEY)"
236,16297,"Fort Albany Airport,Fort Albany Airport(YFA)"
237,16298,"Iqaluit Airport,Iqaluit Airport(YFB)"
238,16299,"Fredericton Airport,Fredericton Airport(YFC)"
239,16301,"Forestville Airport,Forestville Airport(YFE)"
240,16302,"Fort Hope Airport,Fort Hope Airport(YFH)"
241,16303,"La Macaza / Mont-Tremblant International Inc Airport,La Macaza / Mont-Tremblant International Inc Airport(YTM)"
242,16304,"Flin Flon Airport,Flin Flon Airport(YFO)"
243,16305,"Fort Resolution Airport,Fort Resolution Airport(YFR)"
244,16306,"Fort Simpson Airport,Fort Simpson Airport(YFS)"
245,16307,"Makkovik Airport,Makkovik Airport(YMN)"
246,16308,"Texada Gillies Bay Airport,Texada Gillies Bay Airport(YGB)"
249,16311,"Fort Good Hope Airport,Fort Good Hope Airport(YGH)"
250,16312,"Kingston Norman Rogers Airport,Kingston Norman Rogers Airport(YGK)"
251,16313,"La Grande Rivière Airport,La Grande Rivière Airport(YGL)"
252,16314,"Gimli Industrial Park Airport,Gimli Industrial Park Airport(YGM)"
253,16315,"Gods Lake Narrows Airport,Gods Lake Narrows Airport(YGO)"
254,16316,"Gaspé (Michel-Pouliot) Airport,Gaspé (Michel-Pouliot) Airport(YGP)"
255,16317,"Geraldton Greenstone Regional Airport,Geraldton Greenstone Regional Airport(YGQ)"
256,16318,"Îles-de-la-Madeleine Airport,Îles-de-la-Madeleine Airport(YGR)"
257,16319,"Igloolik Airport,Igloolik Airport(YGT)"
258,16320,"Havre St Pierre Airport,Havre St Pierre Airport(YGV)"
259,16321,"Kuujjuarapik Airport,Kuujjuarapik Airport(YGW)"
260,16322,"Gillam Airport,Gillam Airport(YGX)"
261,16323,"Grise Fiord Airport,Grise Fiord Airport(YGZ)"
262,16324,"Quaqtaq Airport,Quaqtaq Airport(YQC)"
263,16327,"Dryden Regional Airport,Dryden Regional Airport(YHD)"
264,16328,"Hope Airport,Hope Airport(YHE)"
265,16329,"Hearst René Fontaine Municipal Airport,Hearst René Fontaine Municipal Airport(YHF)"
266,16330,"Nemiscau Airport,Nemiscau Airport(YNS)"
267,16331,"Ulukhaktok Holman Airport,Ulukhaktok Holman Airport(YHI)"
268,16332,"Gjoa Haven Airport,Gjoa Haven Airport(YHK)"
269,16333,"John C. Munro Hamilton International Airport,John C. Munro Hamilton International Airport(YHM)"
270,16334,"Hornepayne Municipal Airport,Hornepayne Municipal Airport(YHN)"
271,16335,"Hopedale Airport,Hopedale Airport(YHO)"
272,16336,"Chevery Airport,Chevery Airport(YHR)"
273,16338,"Haines Junction Airport,Haines Junction Airport(YHT)"
274,16339,"Montréal / Saint-Hubert Airport,Montréal / Saint-Hubert Airport(YHU)"
275,16340,"Hay River / Merlyn Carter Airport,Hay River / Merlyn Carter Airport(YHY)"
276,16341,"Halifax / Stanfield International Airport,Halifax / Stanfield International Airport(YHZ)"
277,16342,"Atikokan Municipal Airport,Atikokan Municipal Airport(YIB)"
278,16343,"Digby / Annapolis Regional Airport,Digby / Annapolis Regional Airport(YDG)"
279,16344,"St Augustin Airport,St Augustin Airport(YIF)"
280,16345,"Ivujivik Airport,Ivujivik Airport(YIK)"
281,16346,"Pond Inlet Airport,Pond Inlet Airport(YIO)"
282,16347,"Island Lake Airport,Island Lake Airport(YIV)"
283,16349,"Fort Liard Airport,Fort Liard Airport(YJF)"
284,16351,"St Jean Airport,St Jean Airport(YJN)"
285,16354,"Stephenville Airport,Stephenville Airport(YJT)"
286,16355,"Kamloops Airport,Kamloops Airport(YKA)"
287,16357,"Aklavik/Freddie Carmichael Airport,Aklavik/Freddie Carmichael Airport(LAK)"
288,16358,"Waterloo Airport,Waterloo Airport(YKF)"
289,16359,"Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq (Wakeham Bay) Airport(YWB)"
290,16360,"Key Lake Airport,Key Lake Airport(YKJ)"
291,16361,"Schefferville Airport,Schefferville Airport(YKL)"
292,16363,"Akulivik Airport,Akulivik Airport(AKV)"
293,16364,"Waskaganish Airport,Waskaganish Airport(YKQ)"
294,16365,"Kirkland Lake Airport,Kirkland Lake Airport(YKX)"
295,16366,"Kindersley Airport,Kindersley Airport(YKY)"
296,16367,"Buttonville Municipal Airport,Buttonville Municipal Airport(YKZ)"
297,16368,"Aupaluk Airport,Aupaluk Airport(YPJ)"
298,16370,"Kimmirut Airport,Kimmirut Airport(YLC)"
299,16371,"Chapleau Airport,Chapleau Airport(YLD)"
300,16372,"Lansdowne House Airport,Lansdowne House Airport(YLH)"
301,16374,"Meadow Lake Airport,Meadow Lake Airport(YLJ)"
302,16375,"Lutselk'e Airport,Lutselk'e Airport(YSG)"
303,16376,"Lloydminster Airport,Lloydminster Airport(YLL)"
304,16378,"Leaf Rapids Airport,Leaf Rapids Airport(YLR)"
305,16380,"Alert Airport,Alert Airport(YLT)"
306,16381,"Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq (Georges River) Airport(XGR)"
307,16382,"Kelowna International Airport,Kelowna International Airport(YLW)"
308,16384,"Mayo Airport,Mayo Airport(YMA)"
309,16385,"Matane Airport,Matane Airport(YME)"
310,16386,"Manitouwadge Airport,Manitouwadge Airport(YMG)"
311,16387,"Mary's Harbour Airport,Mary's Harbour Airport(YMH)"
312,16388,"Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw Air Vice Marshal C. M. McEwen Airport(YMJ)"
313,16389,"Charlevoix Airport,Charlevoix Airport(YML)"
314,16390,"Fort McMurray Airport,Fort McMurray Airport(YMM)"
315,16391,"Moosonee Airport,Moosonee Airport(YMO)"
316,16392,"Chapais Airport,Chapais Airport(YMT)"
317,16393,"Umiujaq Airport,Umiujaq Airport(YUD)"
318,16395,"Montreal International (Mirabel) Airport,Montreal International (Mirabel) Airport(YMX)"
319,16398,"Natashquan Airport,Natashquan Airport(YNA)"
320,16399,"Wemindji Airport,Wemindji Airport(YNC)"
321,16400,"Ottawa / Gatineau Airport,Ottawa / Gatineau Airport(YND)"
322,16401,"Norway House Airport,Norway House Airport(YNE)"
323,16404,"Points North Landing Airport,Points North Landing Airport(YNL)"
324,16405,"Matagami Airport,Matagami Airport(YNM)"
326,16408,"Ekati Airport,Ekati Airport(YOA)"
327,16409,"Old Crow Airport,Old Crow Airport(YOC)"
328,16410,"CFB Cold Lake,CFB Cold Lake(YOD)"
329,16411,"Oxford House Airport,Oxford House Airport(YOH)"
330,16412,"High Level Airport,High Level Airport(YOJ)"
331,16413,"Toronto/Oshawa Executive Airport,Toronto/Oshawa Executive Airport(YOO)"
332,16414,"Rainbow Lake Airport,Rainbow Lake Airport(YOP)"
333,16415,"Owen Sound / Billy Bishop Regional Airport,Owen Sound / Billy Bishop Regional Airport(YOS)"
334,16416,"Ottawa Macdonald-Cartier International Airport,Ottawa Macdonald-Cartier International Airport(YOW)"
335,16419,"Prince Albert Glass Field,Prince Albert Glass Field(YPA)"
336,16420,"Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk (Nora Aliqatchialuk Ruben) Airport(YPC)"
337,16421,"Port Hawkesbury Airport,Port Hawkesbury Airport(YPS)"
338,16422,"Peace River Airport,Peace River Airport(YPE)"
339,16423,"Southport Airport,Southport Airport(YPG)"
