,Unnamed: 0,name,iso_country,municipality,iata_code
3004,38592,Laguindingan Airport,PH,Cagayan de Oro City,CGY
3005,38758,Barking Sands Airport,US,Kekaha,BKH
3006,38759,Dillingham Airfield,US,Mokuleia,HDH
3007,38761,Wheeler Army Airfield,US,Wahiawa,HHI
3008,38762,Hana Airport,US,Hana,HNM
3009,38763,Kapalua Airport,US,Lahaina,JHM
3010,38764,Kalaeloa Airport,US,Kapolei,JRF
3011,38765,Ellison Onizuka Kona International At Keahole Airport,US,Kailua/Kona,KOA
3012,38767,Lihue Airport,US,Lihue,LIH
3013,38770,Molokai Airport,US,Kaunakakai,MKK
3014,38771,Waimea Kohala Airport,US,Kamuela,MUE
3015,38772,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,US,Kaneohe,NGF
3016,38773,Daniel K Inouye International Airport,US,Honolulu,HNL
3017,38775,Lanai Airport,US,Lanai City,LNY
3018,38776,Kahului Airport,US,Kahului,OGG
3019,38778,Bradshaw Army Airfield,US,Camp Pohakuloa,BSF
3020,38779,Hilo International Airport,US,Hilo,ITO
3021,38780,Upolu Airport,US,Hawi,UPP
3022,38782,New Islamabad International Airport,PK,Islamabad,ISB
3023,38816,Marshall Islands International Airport,MH,Majuro Atoll,MAJ
3024,38818,Kaieteur International Airport,GY,Kaieteur Falls,KAI
3025,38819,Bucholz Army Air Field,MH,Kwajalein,KWA
3026,38984,Cassidy International Airport,KI,Banana,CXI
3027,38990,Henderson Field,UM,Sand Island,MDY
3028,39088,Point Lay LRRS Airport,US,Point Lay,PIZ
3029,39356,Chuuk International Airport,FM,Weno Island,TKK
3030,39357,Pohnpei International Airport,FM,Pohnpei Island,PNI
3031,39358,Babelthuap Airport,PW,Babelthuap Island,ROR
3032,39359,Kosrae International Airport,FM,Okat,KSA
3033,39360,Yap International Airport,FM,Yap Island,YAP
3034,39363,Wake Island Airfield,UM,Wake Island,AWK
3035,39364,Port Walter Seaplane Base,US,Port Walter,PWR
3036,39411,Perry Island Seaplane Base,US,Perry Island,PYL
3037,39413,Hamad International Airport,QA,Doha,DOH
3038,39426,Kinmen Airport,TW,Shang-I,KNH
3039,39429,Matsu Nangan Airport,TW,Nangang Island,LZN
3040,39430,Taitung Airport,TW,Taitung City,TTT
3041,39433,Kaohsiung International Airport,TW,Kaohsiung City,KHH
3042,39434,Chiayi Airport,TW,Chiayi City,CYI
3043,39435,Hengchun Airport,TW,Hengchung,HCN
3044,39438,Lanyu Airport,TW,Orchid Island,KYD
3045,39439,Taichung Ching Chuang Kang Airport,TW,Taichung City,RMQ
3046,39441,Matsu Beigan Airport,TW,Beigan Island,MFK
3047,39443,Tainan Airport,TW,Tainan City,TNN
3048,39445,Hsinchu Air Base,TW,Hsinchu City,HSZ
3049,39446,Makung Airport,TW,Makung City,MZG
3050,39451,Pingtung North Airport,TW,Pingtung,PIF
3051,39452,Taipei Songshan Airport,TW,Taipei City,TSA
3052,39453,Taiwan Taoyuan International Airport,TW,Taipei,TPE
3053,39456,Hualien Airport,TW,Hualien City,HUN
3054,39490,Narita International Airport,JP,Tokyo,NRT
3055,39491,Matsumoto Airport,JP,Matsumoto,MMJ
3056,39492,Hyakuri Airport,JP,Omitama,IBR
3058,39499,Kansai International Airport,JP,Osaka,KIX
3059,39500,Nanki Shirahama Airport,JP,Shirahama,SHM
3060,39501,Kobe Airport,JP,Kobe,UKB
3062,39505,Tajima Airport,JP,Tajima,TJH
3063,39507,Tokachi-Obihiro Airport,JP,Obihiro,OBO
3064,39508,New Chitose Airport,JP,Chitose / Tomakomai,CTS
3065,39509,Hakodate Airport,JP,Hakodate,HKD
3066,39511,Kushiro Airport,JP,Kushiro,KUH
3067,39512,Memanbetsu Airport,JP,Ōzora,MMB
3068,39513,Nakashibetsu Airport,JP,Nakashibetsu,SHB
3069,39514,Okadama Airport,JP,Sapporo,OKD
3070,39518,Wakkanai Airport,JP,Wakkanai,WKJ
3071,39521,Iki Airport,JP,Iki,IKI
3072,39522,Yamaguchi Ube Airport,JP,Ube,UBJ
