,type,name,iso_country,iata_code
51490,medium_airport,Hat Yai International Airport,TH,HDY
51491,medium_airport,Trang Airport,TH,TST
51492,medium_airport,Udon Thani Airport,TH,UTH
51493,medium_airport,Sakon Nakhon Airport,TH,SNO
51494,medium_airport,Surin Airport,TH,PXR
51495,medium_airport,Khon Kaen Airport,TH,KKC
51496,medium_airport,Loei Airport,TH,LOE
51498,medium_airport,Buri Ram Airport,TH,BFV
51499,medium_airport,Nakhon Ratchasima Airport,TH,NAK
51501,medium_airport,Ubon Ratchathani Airport,TH,UBP
51502,medium_airport,Roi Et Airport,TH,ROI
51503,medium_airport,Nakhon Phanom Airport,TH,KOP
51508,medium_airport,Buon Ma Thuot Airport,VN,BMV
51510,medium_airport,Cat Bi International Airport,VN,HPH
51512,medium_airport,Cà Mau Airport,VN,CAH
51513,medium_airport,Cam Ranh Airport,VN,CXR
51514,medium_airport,Co Ong Airport,VN,VCS
51515,medium_airport,Can Tho International Airport,VN,VCA
51516,medium_airport,Dien Bien Phu Airport,VN,DIN
51517,medium_airport,Lien Khuong Airport,VN,DLI
51518,large_airport,Da Nang International Airport,VN,DAD
51522,large_airport,Noi Bai International Airport,VN,HAN
51525,medium_airport,Phu Bai Airport,VN,HUI
51526,medium_airport,Phu Cat Airport,VN,UIH
51527,medium_airport,Pleiku Airport,VN,PXU
51528,medium_airport,Phu Quoc International Airport,VN,PQC
51531,medium_airport,Rach Gia Airport,VN,VKG
51532,medium_airport,Dong Tac Airport,VN,TBB
51533,large_airport,Tan Son Nhat International Airport,VN,SGN
51535,medium_airport,Vinh Airport,VN,VII
51545,medium_airport,Dawei Airport,MM,TVY
51546,medium_airport,Naypyidaw Airport,MM,NYT
51550,medium_airport,Heho Airport,MM,HEH
51553,medium_airport,Kengtung Airport,MM,KET
51556,medium_airport,Kyaukpyu Airport,MM,KYP
51557,medium_airport,Kawthoung Airport,MM,KAW
51559,medium_airport,Loikaw Airport,MM,LIW
51561,medium_airport,Lashio Airport,MM,LSH
51563,large_airport,Mandalay International Airport,MM,MDL
51564,medium_airport,Myeik Airport,MM,MGZ
51567,medium_airport,Myitkyina Airport,MM,MYT
51571,medium_airport,Momeik Airport,MM,MOE
51573,medium_airport,Mong Hsat Airport,MM,MOG
51580,medium_airport,Namsang Airport,MM,NMS
51590,medium_airport,Putao Airport,MM,PBU
51598,medium_airport,Sittwe Airport,MM,AKY
51599,medium_airport,Thandwe Airport,MM,SNW
51600,medium_airport,Tachileik Airport,MM,THL
51606,large_airport,Yangon International Airport,MM,RGN
51739,large_airport,Hasanuddin International Airport,ID,UPG
51746,medium_airport,Frans Kaisiepo Airport,ID,BIK
51750,medium_airport,Nabire Airport,ID,NBX
51754,medium_airport,Moses Kilangin Airport,ID,TIM
51762,large_airport,Ngurah Rai (Bali) International Airport,ID,DPS
51763,medium_airport,Lombok International Airport,ID,LOP
51771,large_airport,Sentani International Airport,ID,DJJ
51779,medium_airport,Wamena Airport,ID,WMX
51784,medium_airport,Mopah Airport,ID,MKQ
51791,medium_airport,Kalimarau Airport,ID,BEJ
51794,medium_airport,Juwata Airport,ID,TRK
51795,medium_airport,Temindung Airport,ID,SRI
51804,medium_airport,Naha Airport,ID,NAH
51808,medium_airport,Mutiara Airport,ID,PLW
51809,medium_airport,Sam Ratulangi Airport,ID,MDC
51811,medium_airport,Kasiguncu Airport,ID,PSJ
51812,medium_airport,Pitu Airport,ID,OTI
51813,medium_airport,Sultan Khairun Babullah Airport,ID,TTE
51815,medium_airport,Syukuran Aminuddin Amir Airport,ID,LUW
51824,medium_airport,Warukin Airport,ID,TJG
51839,medium_airport,Dumatumbun Airport,ID,LUV
51842,medium_airport,"Pattimura Airport, Ambon",ID,AMQ
51852,large_airport,Juanda International Airport,ID,SUB
51859,medium_airport,Fakfak Airport,ID,FKQ
51861,medium_airport,Kaimana Airport,ID,KNG
51863,medium_airport,Babo Airport,ID,BXB
51864,medium_airport,Rendani Airport,ID,MKW
51881,large_airport,Dominique Edward Osok Airport,ID,SOQ
51886,medium_airport,Bintulu Airport,MY,BTU
51891,medium_airport,Kuching International Airport,MY,KCH
51893,medium_airport,Limbang Airport,MY,LMN
51896,medium_airport,Marudi Airport,MY,MUR
51901,medium_airport,Miri Airport,MY,MYY
51902,medium_airport,Sibu Airport,MY,SBW
51907,medium_airport,Bario Airport,MY,BBN
51910,medium_airport,Lahad Datu Airport,MY,LDU
51914,medium_airport,Kota Kinabalu International Airport,MY,BKI
51915,medium_airport,Labuan Airport,MY,LBU
51921,medium_airport,Sandakan Airport,MY,SDK
51924,medium_airport,Tawau Airport,MY,TWU
51925,medium_airport,Mulu Airport,MY,MZV
51926,large_airport,Brunei International Airport,BN,BWN
52041,medium_airport,Radin Inten II (Branti) Airport,ID,TKG
52042,medium_airport,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,ID,PKU
52043,medium_airport,Pinang Kampai Airport,ID,DUM
52048,medium_airport,Husein Sastranegara International Airport,ID,BDO
52052,medium_airport,Hang Nadim International Airport,ID,BTH
52056,medium_airport,Halim Perdanakusuma International Airport,ID,HLP
52057,medium_airport,Tunggul Wulung Airport,ID,CXP
52059,large_airport,Soekarno-Hatta International Airport,ID,CGK
52064,medium_airport,Binaka Airport,ID,GNS
52065,medium_airport,Aek Godang Airport,ID,AEG
52068,medium_airport,Soewondo Air Force Base,ID,MES
52070,large_airport,Kualanamu International Airport,ID,KNO
52078,medium_airport,Nanga Pinoh Airport,ID,NPO
52080,medium_airport,Ketapang(Rahadi Usman) Airport,ID,KTG
52082,medium_airport,Ranai Airport,ID,NTX
52083,medium_airport,Supadio Airport,ID,PNK
52084,medium_airport,Pangsuma Airport,ID,PSU
52085,medium_airport,Sintang(Susilo) Airport,ID,SQG
52091,medium_airport,Fatmawati Soekarno Airport,ID,BKS
52093,medium_airport,Sultan Mahmud Badaruddin II Airport,ID,PLM
52094,medium_airport,Pendopo Airport,ID,PDO
52095,medium_airport,Japura Airport,ID,RGT
52096,medium_airport,Minangkabau International Airport,ID,PDG
52104,medium_airport,Lhok Sukon Airport,ID,LSX
52107,medium_airport,Sultan Iskandar Muda International Airport,ID,BTJ
52130,medium_airport,Pulau Tioman Airport,MY,TOD
52132,medium_airport,Sultan Abdul Halim Airport,MY,AOR
52133,medium_airport,Butterworth Airport,MY,BWH
52134,medium_airport,Sultan Ismail Petra Airport,MY,KBR
52135,medium_airport,Kuantan Airport,MY,KUA
52136,medium_airport,Kerteh Airport,MY,KTE
52138,medium_airport,Sultan Azlan Shah Airport,MY,IPH
52139,medium_airport,Senai International Airport,MY,JHB
52140,large_airport,Kuala Lumpur International Airport,MY,KUL
52141,medium_airport,Langkawi International Airport,MY,LGK
52142,medium_airport,Malacca Airport,MY,MKZ
52143,medium_airport,Sultan Mahmud Airport,MY,TGG
52144,medium_airport,Penang International Airport,MY,PEN
52149,medium_airport,Sultan Abdul Aziz Shah International Airport,MY,SZB
52252,medium_airport,Suai Airport,TL,UAI
52254,medium_airport,Presidente Nicolau Lobato International Airport,TL,DIL
52255,medium_airport,Cakung Airport,TL,BCH
52371,medium_airport,Paya Lebar Air Base,SG,QPG
52372,medium_airport,Tengah Air Base,SG,TGA
52376,medium_airport,Seletar Airport,SG,XSP
52377,large_airport,Singapore Changi Airport,SG,SIN
52767,medium_airport,Smolensk North Airport,RU,LNX
52794,medium_airport,Albany Airport,AU,ALH
52836,medium_airport,Alpha Airport,AU,ABH
52839,medium_airport,Ararat Airport,AU,ARY
52845,medium_airport,Armidale Airport,AU,ARM
52864,medium_airport,Ayers Rock Connellan Airport,AU,AYQ
52874,medium_airport,Barcaldine Airport,AU,BCI
52875,medium_airport,Alice Springs Airport,AU,ASP
52882,large_airport,Brisbane International Airport,AU,BNE
52886,medium_airport,Gold Coast Airport,AU,OOL
52888,medium_airport,Blackall Airport,AU,BKQ
52892,medium_airport,Cairns International Airport,AU,CNS
52893,medium_airport,Charleville Airport,AU,CTL
52899,medium_airport,Birdsville Airport,AU,BVI
52922,medium_airport,Broken Hill Airport,AU,BHQ
52924,medium_airport,Hamilton Island Airport,AU,HTI
52927,medium_airport,Bedourie Airport,AU,BEU
52936,medium_airport,Bourke Airport,AU,BRK
52939,medium_airport,Benalla Airport,AU,BLN
52950,medium_airport,Mount Isa Airport,AU,ISA
52951,medium_airport,Sunshine Coast Airport,AU,MCY
52954,medium_airport,Mackay Airport,AU,MKY
52960,medium_airport,Ballina Byron Gateway Airport,AU,BNK
52963,medium_airport,Bairnsdale Airport,AU,BSJ
52970,medium_airport,Oakey Airport,AU,OKY
52976,medium_airport,Boulia Airport,AU,BQL
52981,medium_airport,Proserpine Whitsunday Coast Airport,AU,PPP
52986,medium_airport,Rockhampton Airport,AU,ROK
52988,medium_airport,Broome International Airport,AU,BME
52989,medium_airport,Balranald Airport,AU,BZD
52993,medium_airport,Brewarrina Airport,AU,BWQ
53000,medium_airport,Bathurst Airport,AU,BHS
53001,medium_airport,Bathurst Island Airport,AU,BRT
53003,medium_airport,Townsville Airport,AU,TSV
53005,medium_airport,Blackwater Airport,AU,BLT
53011,medium_airport,Bundaberg Airport,AU,BDB
53029,medium_airport,Weipa Airport,AU,WEI
53033,medium_airport,Toowoomba Wellcamp Airport,AU,WTB
53055,medium_airport,Carnarvon Airport,AU,CVQ
53057,medium_airport,Cobar Airport,AU,CAZ
53058,medium_airport,Coonabarabran Airport,AU,COJ
53063,medium_airport,Coober Pedy Airport,AU,CPD
53066,medium_airport,Chinchilla Airport,AU,CCL
53070,medium_airport,Cloncurry Airport,AU,CNJ
53079,medium_airport,Ceduna Airport,AU,CED
53081,medium_airport,Cleve Airport,AU,CVC
53100,medium_airport,RAAF Base Curtin,AU,DCN
53105,medium_airport,Cooktown Airport,AU,CTN
53117,medium_airport,Clermont Airport,AU,CMQ
53118,medium_airport,Cunnamulla Airport,AU,CMA
53125,medium_airport,Coonamble Airport,AU,CNB
53134,medium_airport,Coen Airport,AU,CUQ
53140,medium_airport,Cooma Snowy Mountains Airport,AU,OOM
53143,medium_airport,Corowa Airport,AU,CWW
53152,medium_airport,Corryong Airport,AU,CYG
53165,medium_airport,Cootamundra Airport,AU,CMD
53187,medium_airport,Cowra Airport,AU,CWT
53198,medium_airport,Dirranbandi Airport,AU,DRN
53200,medium_airport,Derby Airport,AU,DRB
53226,medium_airport,Deniliquin Airport,AU,DNQ
53247,medium_airport,Devonport Airport,AU,DPO
53268,medium_airport,Dysart Airport,AU,DYA
53272,medium_airport,Echuca Airport,AU,ECH
53282,medium_airport,Elcho Island Airport,AU,ELC
53294,medium_airport,Emerald Airport,AU,EMD
53309,medium_airport,Esperance Airport,AU,EPR
53319,medium_airport,Forbes Airport,AU,FRB
53336,medium_airport,Forrest Airport,AU,FOS
53343,medium_airport,Fitzroy Crossing Airport,AU,FIZ
53360,medium_airport,Gunnedah Airport,AU,GUH
53369,medium_airport,Geraldton Airport,AU,GET
53370,medium_airport,Grafton Airport,AU,GFN
53386,medium_airport,Gladstone Airport,AU,GLT
53387,medium_airport,Goulburn Airport,AU,GUL
53391,medium_airport,Glen Innes Airport,AU,GLI
53411,medium_airport,Garden Point Airport,AU,GPN
53416,medium_airport,Groote Eylandt Airport,AU,GTE
53417,medium_airport,Griffith Airport,AU,GFF
53432,medium_airport,Hay Airport,AU,HXX
53433,medium_airport,Hervey Bay Airport,AU,HVB
53446,medium_airport,Horn Island Airport,AU,HID
53449,medium_airport,Halls Creek Airport,AU,HCQ
53454,medium_airport,Hamilton Airport,AU,HLT
53458,medium_airport,Mount Hotham Airport,AU,MHU
53464,medium_airport,Hopetoun Airport,AU,HTU
53471,medium_airport,Horsham Airport,AU,HSM
53506,medium_airport,Inverell Airport,AU,IVR
53555,medium_airport,Kerang Airport,AU,KRA
53563,medium_airport,King Island Airport,AU,KNS
53578,medium_airport,Kempsey Airport,AU,KPS
53589,medium_airport,Kowanyama Airport,AU,KWM
53592,medium_airport,Kingaroy Airport,AU,KGY
53593,medium_airport,Kingscote Airport,AU,KGC
53621,medium_airport,Leigh Creek Airport,AU,LGH
53625,medium_airport,Leonora Airport,AU,LNO
53638,medium_airport,Lockhart River Airport,AU,IRG
53643,medium_airport,Lismore Airport,AU,LSY
53670,medium_airport,Lightning Ridge Airport,AU,LHG
53671,medium_airport,Longreach Airport,AU,LRE
53677,medium_airport,Leinster Airport,AU,LER
53680,medium_airport,Latrobe Valley Airport,AU,TGN
53703,medium_airport,Avalon Airport,AU,AVV
53704,medium_airport,Albury Airport,AU,ABX
53705,medium_airport,Mareeba Airport,AU,MRG
53722,medium_airport,Mudgee Airport,AU,DGE
53736,medium_airport,Meekatharra Airport,AU,MKR
53738,medium_airport,Melbourne Essendon Airport,AU,MEB
53741,medium_airport,Merimbula Airport,AU,MIM
53748,medium_airport,Maningrida Airport,AU,MNG
53757,medium_airport,Hobart International Airport,AU,HBA
53764,medium_airport,Mildura Airport,AU,MQL
53789,medium_airport,Launceston Airport,AU,LST
53791,medium_airport,Melbourne Moorabbin Airport,AU,MBW
53793,large_airport,Melbourne International Airport,AU,MEL
53800,medium_airport,Mount Keith Airport,AU,WME
53813,medium_airport,Mount Magnet Airport,AU,MMG
53816,medium_airport,Moree Airport,AU,MRZ
53827,medium_airport,Moranbah Airport,AU,MOV
53832,medium_airport,Moruya Airport,AU,MYA
53842,medium_airport,Mount Gambier Airport,AU,MGB
53884,medium_airport,Narrandera Airport,AU,NRA
53886,medium_airport,Narrabri Airport,AU,NAA
53894,medium_airport,Ngukurr Airport,AU,RPM
